,Name,TenforeId,ReturnM0,ReturnM12,ReturnM36,ReturnM60,StandardDeviationM36,SharpeM36,TrackRecordExtension,ReturnM120,AlphaM36,BetaM36
11485,BNPP Glbl Fl Rt Port 2025 Cl RH EURMDDis,52.8.LU2361418457,-3.86,3.21,,,,,False,,,
11486,BNPP Glbl Fl Rt Port 2025 Cl RH GBPMDDis,52.8.LU2361417210,-1.27,5.13,,,,,False,,,
11487,BNPP Glbl Fl Rt Port 2025 Cl RH HKDMDDis,52.8.LU2361418028,-3.33,-3.72,,,,,False,,,
11488,BNPP Glbl Fl Rt Port 2025 Cl RH SGDMDDis,52.8.LU2361417723,-4.77,0.08,,,,,False,,,
11489,BNPP Glbl Fl Rt Port 2025 Cl USD Cap,52.8.LU2361417053,-0.07,-0.96,,,,,False,,,
11490,BNPP Glbl Fl Rt Port 2025 Cl USD MD Dis,52.8.LU2361418887,-2.26,-3.14,,,,,False,,,
11491,BNPP Glbl Fl Rt Port 2025 I RH CZK Cap,52.8.LU2361417483,-0.96,8.68,,,,,False,,,
11492,BNPP Glbl Fl Rt Port 2025 Privl RHEURCap,52.8.LU2361418374,-2.11,4.99,,,,,False,,,
11493,BNPP Glbl Fl Rt Port 2025PrivlRHEURMDDis,52.8.LU2361418291,-3.76,3.22,,,,,False,,,
11494,BNPP Glbl Fl Rt Port 2025 Privl USD Cap,52.8.LU2361418705,0.09,-0.77,,,,,False,,,
11495,BNPP Glbl Fl Rt Port 2025 Privl USDMDDis,52.8.LU2361418614,-2.19,-3.01,,,,,False,,,
11496,Caixabank Bonos Flotantes 2025 Plus FI,52.8.ES0125479008,2.24,2.57,0.61,1.12,0.51,0.41,False,,0.28,-0.49
11497,Caixabank Deuda Publica 2024 Cartera FI,52.8.ES0140952005,,,,,,,False,,,
11498,Caixabank Deuda Publica 2024 Estandar FI,52.8.ES0140952013,,,,,,,False,,,
11499,Caixabank Deuda Publica 2025 Cartera FI,52.8.ES0122080007,1.37,,,,,,False,,,
11500,Caixabank Deuda Publica 2025 Estándar FI,52.8.ES0122080015,1.1,,,,,,False,,,
11501,Caixabank Deuda Publica 2027 Cartera FI,52.8.ES0114770011,1.38,,,,,,False,,,
11502,Caixabank Deuda Publica 2027 Estándar FI,52.8.ES0114770003,1.11,,,,,,False,,,
11503,Caixabank Deuda Publica Esp It 2024 FI,52.8.ES0118540006,1.56,1.38,,,,,False,,,
11504,Caixabank Deuda Púb EspIt 2025 2 Cart FI,52.8.ES0113232005,1.44,1.17,,,,,False,,,
11505,Caixabank Deuda Púb Esp It 2025 2 Est FI,52.8.ES0113232013,1.41,1.13,,,,,False,,,
11506,Caixabank Deuda Pub EspIt 2025 3 Cart FI,52.8.ES0113233003,1.4,0.7,,,,,False,,,
11507,Caixabank Deuda Pub Esp It 2025 3 Est FI,52.8.ES0113233011,1.14,0.39,,,,,False,,,
11508,Caixabank Deuda Publica Esp Ita 2025 FI,52.8.ES0145884005,1.52,1.24,,,,,False,,,
11509,Caixabank Deuda Publica Esp It 2027 2 FI,52.8.ES0114499009,1.37,1.34,,,,,False,,,
11510,Caixabank Deuda Publica Esp Ita 2027 FI,52.8.ES0113643003,1.48,1.59,,,,,False,,,
11511,Caixabank DP Inflación 2024 FI,52.8.ES0170740007,1.12,2.05,3.2,2.29,3.05,0.87,False,,,
11512,Caixabank Horizonte 2025 FI,52.8.ES0122078001,1.57,1.23,-0.62,0.81,1.93,-0.55,False,,,
11513,Caixabank RF Enero 2026 Cartera FI,52.8.ES0171964002,2.09,3.88,-2.33,,3.83,-0.65,False,,0.37,0.55
11514,Caixabank RF Enero 2026 Extra FI,52.8.ES0171964010,2.07,3.83,-2.39,,3.84,-0.67,False,,0.32,0.55
11515,Caixabank RF Enero 2026 Platinum FI,52.8.ES0171964028,2.18,4.01,-0.12,,4.3,-0.05,False,,2.15,0.45
11516,Caixabank Rentas Euribor 2 FI,52.8.ES0137508000,1.57,1.34,-0.64,0.22,1.09,-1.06,False,,,
11517,Caixabank Rentas Euribor FI,52.8.ES0180964001,1.71,1.9,0.02,0.68,1.04,-0.45,False,,,
11518,Carmignac Credit 2025 A EUR Acc,52.8.FR0013515970,5.68,10.08,,,,,False,,,
11519,Carmignac Credit 2025 A EUR Ydis,52.8.FR0013515996,5.68,10.08,,,,,False,,,
11520,Carmignac Credit 2025 F EUR Acc,52.8.FR0013516028,6.02,10.52,,,,,False,,,
11521,Carmignac Credit 2025 F EUR Ydis,52.8.FR0013516036,6.03,10.52,,,,,False,,,
11522,Carmignac Credit 2027 A EUR Acc,52.8.FR00140081Y1,7.44,12.36,,,,,False,,,
11523,Carmignac Credit 2027 A EUR Ydis,52.8.FR00140081Z8,7.44,12.36,,,,,False,,,
11524,Carmignac Credit 2027 F EUR Acc,52.8.FR0014008223,7.79,12.8,,,,,False,,,
11525,Carmignac Credit 2027 F EUR Ydis,52.8.FR0014008231,7.79,12.8,,,,,False,,,
11526,Cartera Renta Fija Horizonte 2026 FI,52.8.ES0116419005,2.7,,,,,,False,,,
11527,Cartera Renta Fija Horizonte 2027 FI,52.8.ES0162295002,4.77,,,,,,False,,,
11528,Cartera Renta Fija Horizonte 2028 FI,52.8.ES0162296000,,,,,,,False,,,
11529,"CdE Horizon 2028, FI A",52.8.FR001400CC08,3.22,,,,,,False,,,
11530,CI Cims 2026 FI,52.8.ES0125587008,,,,,,,False,,,
11531,CI Cims 2027 2E FI,52.8.ES0125588006,,,,,,,False,,,
11532,CI Cims 2027 FI,52.8.ES0116963002,2.13,3.78,,,,,False,,,
11533,CM-AM High Yield 2024 IC,52.8.FR0013472461,3.27,5.55,1.51,,4.01,0.38,False,,,
11534,CM-AM High Yield 2024 RC,52.8.FR0013336773,3.11,5.34,1.31,0.89,4.01,0.33,False,,,
11535,CM-AM High Yield 2024 RD,52.8.FR0013336765,3.1,5.34,1.3,0.89,4.01,0.33,False,,,
11536,CM-AM High Yield 2024 S,52.8.FR0013371341,3.27,5.55,1.51,1.09,4.01,0.38,False,,,
11537,CPR Invest B&W Clmt Trgt 2028 A EUR Acc,52.8.LU2615664351,,,,,,,False,,,
11538,Creand Buy & Hold 2026 A FI,52.8.ES0113326005,,,,,,,False,,,
11539,CS (Lux) Fixed Mat Bd 2022 S-III IA25USD,52.8.LU1645754463,2.5,8.58,,,,,False,,,
11540,CS (Lux) Fixed Mat Bd 2024 S-V A HKD,,-3.49,-4.46,,,,,False,,,
11541,CS (Lux) Fixed Mat Bd 2024 S-V A USD,52.8.LU2062620526,-3.05,-3.65,-2.37,,7.35,-0.34,False,,,
11542,CS (Lux) Fixed Mat Bd 2024 S-V AH AUD,52.8.LU2062500207,-10.72,-5.23,-6.88,,9.51,-0.69,False,,,
11543,CS (Lux) Fixed Mat Bd 2024 S-V AH SGD,52.8.LU2062500462,-6.12,-1.16,-3.05,,6.5,-0.45,False,,,
11544,CS (Lux) Fixed Mat Bd 2024 S-V B USD,52.8.LU2062500892,-3.05,-3.65,-2.37,,7.35,-0.34,False,,,
11545,CS (Lux) Fixed Mat Bd 2024 S-V DB USD,52.8.LU2062502914,-4.27,-3.45,,,,,False,,,
11546,CS (Lux) Fixed Mat Bd 2024 S-V IA USD,52.8.LU2062503722,-2.81,-3.36,-2.08,,7.36,-0.29,False,,,
11547,CS (Lux) Fixed Mat Bd 2024 S-V IAH GBP,52.8.LU2062504290,-1.85,4.54,-4.77,,6.46,-0.74,False,,,
11548,CS (Lux) Fixed Mat Bd 2024 S-V IB USD,52.8.LU2062504704,-2.81,-3.36,-2.08,,7.36,-0.29,False,,,
11549,CS (Lux) Fixed Mat Bd 2024 S-V IB25 USD,52.8.LU2062506402,-2.69,-3.21,-1.93,,7.36,-0.27,False,,,
11550,CS (Lux) Fixed Mat Bd 2024 S-V IBH EUR,52.8.LU2062504886,-4.85,2.21,-7.07,,6.33,-1.15,False,,,
11551,CS (Lux) Fixed Mat Bd 2024 S-V UA USD,52.8.LU2062511311,-2.89,-3.46,-2.18,,7.35,-0.31,False,,,
11552,CS (Lux) Fixed Mat Bd 2024 S-V UB USD,52.8.LU2062512392,-2.9,-3.46,-2.18,,7.36,-0.31,False,,,
11553,CS (Lux) Fixed Mat Bd 2022 S-III A HKD,,2.45,-0.05,-0.13,,6.4,0.09,False,,,
11554,CS (Lux) Fixed Mat Bd 2022 S-III A USD,,2.43,-0.15,-0.23,,6.4,0.07,False,,,
11555,CS (Lux) Fixed Mat Bd 2022 S-III AH AUD,52.8.LU1645749117,5.31,-2.26,1.11,,9.16,0.09,False,,,
11556,CS (Lux) Fixed Mat Bd 2022 S-III AH SGD,52.8.LU1645750552,1.47,-1.24,-0.63,,5.1,-0.02,False,,,
11557,CS (Lux) Fixed Mat Bd 2022 S-III B HKD,52.8.LU1653968633,2.45,-0.06,-0.13,,6.4,0.08,False,,,
11558,CS (Lux) Fixed Mat Bd 2022 S-III B USD,52.8.LU1645750719,2.43,-0.15,-0.23,,6.4,0.07,False,,,
11559,CS (Lux) Fixed Mat Bd 2022 S-III BH AUD,52.8.LU1645750982,5.31,-2.28,1.1,,9.16,0.09,False,,,
11560,CS (Lux) Fixed Mat Bd 2022 S-III BH SGD,52.8.LU1645752335,1.47,-1.26,-0.63,,5.09,-0.02,False,,,
11561,CS (Lux) Fixed Mat Bd 2022 S-III DA USD,52.8.LU1645759421,2.61,0.62,0.55,,6.41,0.19,False,,,
11562,CS (Lux) Fixed Mat Bd 2022 S-III IA USD,,2.5,0.15,0.07,,6.4,0.12,False,,,
11563,CS (Lux) Fixed Mat Bd 2022 S-III IAH SGD,52.8.LU1645753226,1.54,-0.95,-0.34,,5.09,0.04,False,,,
11564,CS (Lux) Fixed Mat Bd 2022 S-III IB USD,52.8.LU1645753499,2.5,0.15,0.07,,6.4,0.12,False,,,
11565,CS (Lux) Fixed Mat Bd 2022 S-III UA USD,,2.48,0.05,-0.03,,6.4,0.1,False,,,
11566,CS (Lux) Fixed Mat Bd 2022 S-III UB USD,,2.47,0.05,-0.03,,6.4,0.1,False,,,
11567,DB PWM DB FMP 2024 GBP LDH,52.8.LU2091667712,4.64,7.28,0.77,,5.9,0.15,False,,,
11568,Defensive Bond Opp. 2026 E1,52.8.FR001400DSF4,1.43,,,,,,False,,,
11569,Defensive Bond Opp. 2026 E2,52.8.FR001400DSE7,,,,,,,False,,,
11570,Defensive Bond Opp. 2026 I1,52.8.FR001400DS90,1.72,,,,,,False,,,
11571,Defensive Bond Opp. 2026 I2,52.8.FR001400DS82,,,,,,,False,,,
11572,Defensive Bond Opp. 2026 K1,52.8.FR001400DS58,0.1,,,,,,False,,,
11573,Defensive Bond Opp. 2026 S1,52.8.FR001400DSB3,-0.22,,,,,,False,,,
11574,Defensive Bond Opp. 2026 U1,52.8.FR001400DSD9,3.11,,,,,,False,,,
11575,Diversified Bond Opp. 2025 E1,52.8.FR0013330719,4.75,9.21,0.09,-0.15,6.19,0.08,False,,,
11576,Diversified Bond Opp. 2025 E2,52.8.FR0013330727,4.75,9.21,0.09,-0.15,6.19,0.08,False,,,
11577,Diversified Bond Opp. 2025 I1,52.8.FR0013330750,5.17,9.76,0.58,0.35,6.19,0.16,False,,,
11578,Diversified Bond Opp. 2025 I2,52.8.FR0013330768,5.18,9.77,0.59,,6.19,0.16,False,,,
11579,Diversified Bond Opp. 2025 J1,52.8.FR0013330776,7.36,3.56,6.14,4.04,7.8,0.81,False,,,
11580,Diversified Bond Opp. 2025 K1,52.8.FR0013330784,7.74,11.87,3.99,3.52,6.43,0.6,False,,,
11581,Diversified Bond Opp. 2025 S1,52.8.FR0013330743,7.09,11.1,3.37,,6.43,0.52,False,,,
11582,Diversified Bond Opp. 2025 U1,52.8.FR0013330735,6.9,3.02,5.61,3.51,7.8,0.74,False,,,
11583,DJE Gestión Patrimonial 2026 EUR Dis,52.8.LU1899149386,4.36,4.78,0.38,,4.22,-0.01,False,,,
11584,DPAM Bonds L Corp Hi Yld € 2023 W,52.8.LU1619836916,-12.62,-10.23,,,,,False,,,
11585,Dpam L Bonds EUR Corporate 2026 A,52.8.LU2532470023,2.0,,,,,,False,,,
11586,Dpam L Bonds EUR Corporate 2026 B,52.8.LU2532470296,2.12,,,,,,False,,,
11587,Dpam L Bonds EUR Corporate 2026 M,52.8.LU2532470619,2.23,,,,,,False,,,
11588,Dpam L Bonds EUR Corporate 2026 N,52.8.LU2532470700,2.24,,,,,,False,,,
11589,DWS Fixed Maturity Corp Bds 2025,52.8.LU1054166365,0.07,1.81,0.73,2.29,1.83,0.26,False,,,
11590,EdR SICAV Millesima World 2028 A CHF H,52.8.FR0014008W14,4.97,9.58,,,,,False,,,
11591,EdR SICAV Millesima World 2028 A EUR,52.8.FR0014008W22,2.64,7.86,,,,,False,,,
11592,EdR SICAV Millesima World 2028 A USD H,52.8.FR0014008W30,4.34,0.97,,,,,False,,,
11593,EdR SICAV Millesima World 2028 AC EUR,52.8.FR0014008W48,,,,,,,False,,,
11594,EdR SICAV Millesima World 2028 B EUR,52.8.FR0014008W55,2.7,7.95,,,,,False,,,
11595,EdR SICAV Millésima World 2028 B USD H,52.8.FR001400DLU8,,,,,,,False,,,
11596,EdR SICAV Millesima World 2028 CR EUR,52.8.FR0014008W63,3.24,8.58,,,,,False,,,
11597,EdR SICAV Millesima World 2028 CR USD H,52.8.FR0014008W71,5.03,2.16,,,,,False,,,
11598,EdR SICAV Millesima World 2028 CRD EUR,52.8.FR0014008W89,3.22,8.43,,,,,False,,,
11599,EdR SICAV Millesima World 2028 CRD USD H,52.8.FR0014008W97,5.02,2.27,,,,,False,,,
11600,EdR SICAV Millesima World 2028 I CHF H,52.8.FR0014008WA1,5.79,,,,,,False,,,
11601,EdR SICAV Millesima World 2028 I EUR,52.8.FR0014008WB9,3.31,8.65,,,,,False,,,
11602,EdR SICAV Millesima World 2028 I USD H,52.8.FR0014008WC7,5.11,2.37,,,,,False,,,
11603,EdR SICAV Millesima World 2028 J EUR,52.8.FR0014008WD5,3.31,8.69,,,,,False,,,
11604,EdR SICAV Millesima World 2028 K EUR,52.8.FR0014008WG8,3.28,8.84,,,,,False,,,
11605,EdR SICAV Millesima World 2028 R EUR,52.8.FR0014008WH6,2.32,7.48,,,,,False,,,
11606,EM Bond Opp. 2024 E1,52.8.FR0012767010,1.56,6.37,-1.65,-0.61,5.09,-0.3,False,,,
11607,EM Bond Opp. 2024 I1,52.8.FR0012767077,2.02,6.97,-1.15,-0.09,5.07,-0.2,False,,,
11608,EM Bond Opp. 2024 J1,52.8.FR0012767093,4.24,0.95,4.41,3.6,6.78,0.64,False,,,
11609,EM Bond Opp. 2024 J2,52.8.FR0012767101,4.24,0.94,,,,,False,,,
11610,EM Bond Opp. 2024 S1,52.8.FR0012767069,3.94,8.4,1.66,2.46,5.2,0.26,False,,,
11611,EM Bond Opp. 2024 U1,52.8.FR0012767044,3.82,0.44,3.89,3.09,6.78,0.57,False,,,
11612,Eurocaja Expectativa 2026 FI,52.8.ES0133402000,,,,,,,False,,,
11613,European Bond Opp. 2027 E1,52.8.FR0013221033,4.79,9.24,2.15,1.38,5.2,0.5,False,,,
11614,European Bond Opp. 2027 E2,52.8.FR0013221041,4.8,9.25,2.15,1.38,5.21,0.5,False,,,
11615,European Bond Opp. 2027 I1,52.8.FR0013221074,5.23,9.8,2.67,1.89,5.21,0.59,False,,,
11616,European Bond Opp. 2027 I2,52.8.FR0013221082,5.23,9.8,2.66,1.89,5.21,0.59,False,,,
11617,European Bond Opp. 2027 J1,52.8.FR0013221090,7.36,3.57,8.23,5.5,7.37,1.12,False,,,
11618,European Bond Opp. 2027 K1,52.8.FR0013221108,7.73,11.84,6.15,5.06,5.77,1.05,False,,,
11619,European Bond Opp. 2027 S1,52.8.FR0013221066,7.29,11.27,5.57,4.51,5.77,0.96,False,,,
11620,European Bond Opp. 2027 U1,52.8.FR0013221058,6.84,2.97,7.82,5.06,7.36,1.07,False,,,
11621,Eurovalor Ahorro Rentas FI,52.8.ES0133447005,2.5,3.64,1.23,3.77,1.57,0.63,False,,,
11622,Eurovalor Ahorro Rentas II FI,52.8.ES0133423006,2.35,3.18,0.74,2.76,1.15,0.38,False,,,
11623,Evli Nordic 2025 Target Maturity A,52.8.FI4000455969,7.42,9.48,,,,,False,,,
11624,Evli Nordic 2025 Target Maturity B,52.8.FI4000455977,7.42,9.48,,,,,False,,,
11625,Evli Nordic 2025 Target Maturity CA,52.8.FI4000456017,7.56,9.64,,,,,False,,,
11626,Evli Nordic 2025 Target Maturity CB,52.8.FI4000456025,7.55,9.64,,,,,False,,,
11627,Evli Nordic 2025 Target Maturity QA,52.8.FI4000476874,8.23,9.42,,,,,False,,,
11628,Evli Target Maturity N Bond 2023 A,52.8.FI4000363981,4.28,5.35,2.79,,1.85,1.33,False,,,
11629,Evli Target Maturity N Bond 2023 B,52.8.FI4000363999,4.28,5.35,2.79,,1.85,1.33,False,,,
11630,Evli Target Maturity N Bond 2023 CA,52.8.FI4000364021,4.49,5.61,3.04,,1.85,1.46,False,,,
11631,Evli Target Maturity N Bond 2023 CB,52.8.FI4000364039,4.49,5.61,3.04,,1.85,1.46,False,,,
11632,Evli Target Maturity N Bond 2023 IA,52.8.FI4000364005,4.62,5.77,3.2,,1.85,1.55,False,,,
11633,Evli Target Maturity N Bond 2023 IB,52.8.FI4000364013,4.62,5.77,3.2,,1.85,1.55,False,,,
11634,Fixed Mat Em Mkts Bd 2026 A USD Inc,52.8.LU2365111546,3.08,1.29,,,,,False,,,
11635,Fixed Mat Em Mkts Bd 2026 AH EUR Inc,52.8.LU2365111629,0.85,7.33,,,,,False,,,
11636,Fixed Mat Em Mkts Bd 2026 AHI EUR Inc,52.8.LU2365110902,1.18,7.75,,,,,False,,,
11637,Fixed Mat Em Mkts Bd 2026 AHN CHF Inc,52.8.LU2365112601,4.16,10.21,,,,,False,,,
11638,Fixed Mat Em Mkts Bd 2026 AHN EUR Inc,52.8.LU2365112510,1.11,7.71,,,,,False,,,
11639,Fixed Mat Em Mkts Bd 2026 AI USD Inc,52.8.LU2365110811,3.4,1.68,,,,,False,,,
11640,Fixed Mat Em Mkts Bd 2026 AN USD Inc,52.8.LU2365112437,3.38,1.65,,,,,False,,,
11641,Fixed Mat Em Mkts Bd 2026 B USD Acc,52.8.LU2365111116,3.09,1.29,,,,,False,,,
11642,Fixed Mat Em Mkts Bd 2026 H EUR Acc,52.8.LU2365111389,0.91,7.39,,,,,False,,,
11643,Fixed Mat Em Mkts Bd 2026 HI EUR Acc,52.8.LU2365110654,1.22,7.78,,,,,False,,,
11644,Fixed Mat Em Mkts Bd 2026 HN CHF Acc,52.8.LU2365112353,3.58,9.65,,,,,False,,,
11645,Fixed Mat Em Mkts Bd 2026 HN EUR Acc,52.8.LU2365112270,1.13,7.69,,,,,False,,,
11646,Fixed Mat Em Mkts Bd 2026 I USD Acc,52.8.LU2365110571,3.4,1.69,,,,,False,,,
11647,Fixed Mat Em Mkts Bd 2026 N USD Acc,52.8.LU2365112197,3.37,1.65,,,,,False,,,
11648,Fonditel Euro Horizonte 2026 FI,52.8.ES0137668002,,,,,,,False,,,
11649,Fondo Naranja Rentabilidad 2025 I FI,52.8.ES0137988004,1.68,2.27,,,,,False,,,
11650,Fondo Naranja Rentabilidad 2025 II FI,52.8.ES0178644003,1.63,1.91,,,,,False,,,
11651,Fondo Naranja Rentabilidad 2025 III FI,52.8.ES0125638009,1.67,-0.11,,,,,False,,,
11652,Fondo Naranja Rentabilidad 2025 IV FI,52.8.ES0136106004,,,,,,,False,,,
11653,Fondo Naranja Rentabilidad 2025 V FI,52.8.ES0136107002,,,,,,,False,,,
11654,Fondo Naranja Rentabilidad 2025 VI FI,52.8.ES0136108000,,,,,,,False,,,
11655,Fondo Naranja Rentabilidad 2025 VII FI,52.8.ES0136109008,,,,,,,False,,,
11656,Fondo Naranja Rentabilidad 2026 I FI,52.8.ES0125639007,1.78,,,,,,False,,,
11657,Fondo Naranja Rentabilidad 2026 II FI,52.8.ES0125640005,,,,,,,False,,,
11658,Franklin Glb Tgt Er Inc 2025 E YInc EUR,52.8.LU2104293795,3.7,7.98,-0.1,,5.6,0.01,False,,,
11659,Franklin Glb Tgt Er Inc 2025 E1 Acc EUR,52.8.LU2104293878,4.16,8.59,0.57,,5.6,0.13,False,,,
11660,Franklin Glb Tgt Er Inc 2025 E1 YInc EUR,52.8.LU2104293951,4.22,8.68,0.52,,5.61,0.13,False,,,
11661,Franklin Glb Tgt Er Inc 2025 WE Acc EUR,52.8.LU2104294090,4.41,8.92,0.8,,5.62,0.18,False,,,
11662,Franklin Glb Tgt Er Inc 2025 WE YInc EUR,52.8.LU2104294173,4.48,9.04,0.81,,5.61,0.18,False,,,
11663,Franklin Green Trgt Inc 2024 A EUR Cap,52.8.LU1969742458,3.47,5.83,-1.08,,5.42,-0.18,False,,,
11664,Franklin Green Trgt Inc 2024 A EUR Ydis,52.8.LU1969742375,3.48,5.83,-1.08,,5.43,-0.18,False,,,
11665,Franklin Green Trgt Inc 2024 A1 EUR Cap,52.8.LU1969742029,3.93,6.41,-0.53,,5.43,-0.08,False,,,
11666,Franklin Green Trgt Inc 2024 A1 EUR Ydis,52.8.LU1969742532,3.93,6.42,-0.53,,5.43,-0.08,False,,,
11667,Franklin Green Trgt Inc 2024 A1 USDH1Cap,52.8.LU1980828138,6.09,0.37,4.84,,7.95,0.6,False,,,
11668,Franklin Green Trgt Inc 2024 A1USDH1Ydis,52.8.LU1980828302,6.02,0.28,4.82,,7.94,0.6,False,,,
11669,Franklin Green Trgt Inc 2024 W EUR Cap,52.8.LU1969742292,4.26,6.84,-0.14,,5.42,0.0,False,,,
11670,Franklin Green Trgt Inc 2024 W EUR Ydis,52.8.LU1969742615,4.28,6.84,-0.13,,5.43,0.0,False,,,
11671,Franklin Green Trgt Inc 2024 WUSDH1Ydis,52.8.LU2003510612,6.43,0.73,5.29,,7.94,0.66,False,,,
11672,Franklin Responsible Inc 2028 A € Acc,52.8.IE0000DQLDH4,,,,,,,False,,,
11673,Franklin Responsible Inc 2028 A € DisA,52.8.IE000LD3YVV6,,,,,,,False,,,
11674,Franklin Responsible Inc 2028 D € Acc,52.8.IE0000TEM0N1,,,,,,,False,,,
11675,Franklin Responsible Inc 2028 D € DisA,52.8.IE000AG0YVF5,,,,,,,False,,,
11676,Franklin Responsible Inc 2028 X € Acc,52.8.IE000WV5X6F3,,,,,,,False,,,
11677,Franklin Responsible Inc 2028 X € DisA,52.8.IE0006WWX0P0,,,,,,,False,,,
11678,Franklin Target Inc 2024 A Acc EUR,52.8.LU1958312115,3.02,6.15,-0.98,,5.96,-0.14,False,,,
11679,Franklin Target Inc 2024 A Ydis EUR,52.8.LU1932919704,3.02,6.15,-0.98,,5.96,-0.14,False,,,
11680,Franklin Target Inc 2024 A1 Acc EUR,52.8.LU1932919530,3.48,6.73,-0.44,,5.97,-0.05,False,,,
11681,Franklin Target Inc 2024 A1 Ydis CZK H1,52.8.LU1932919456,4.49,10.24,6.18,,8.6,0.75,False,,,
11682,Franklin Target Inc 2024 A1 Ydis EUR,52.8.LU1932919373,3.47,6.73,-0.44,,5.97,-0.05,False,,,
11683,Franklin Target Inc 2024 D1 Ydis EUR,52.8.LU1932919969,3.02,6.15,-0.98,,5.96,-0.14,False,,,
11684,Franklin Target Inc 2024 W Acc EUR,52.8.LU1958311901,3.82,7.16,-0.04,,5.97,0.02,False,,,
11685,Franklin Target Inc 2024 W Ydis EUR,52.8.LU1932919886,3.8,7.16,-0.04,,5.97,0.02,False,,,
11686,Franklin USD Dvf Bd Sr I2025 EUSD Acc,52.8.LU2216209176,1.8,-2.31,4.02,,6.28,0.59,False,,,
11687,Franklin USD Dvf Bd Sr I2025 ESGDH1 QInc,52.8.LU2216209762,-1.48,0.23,3.18,,4.79,0.64,False,,,
11688,Franklin USD Dvf Bd Sr I2025 EUSD QInc,52.8.LU2216209259,1.87,-2.25,4.06,,6.27,0.6,False,,,
11689,G Fund High Yield Maturity 3 I EUR Acc,52.8.LU2527589415,5.82,,,,,,False,,,
11690,G Fund High Yield Maturity 3 N EUR Acc,52.8.LU2527589688,5.34,,,,,,False,,,
11691,G Fund High Yield Maturity 3 N EUR Inc,52.8.LU2527589761,5.43,,,,,,False,,,
11692,G Fund High Yield Maturity 3 R EUR Acc,52.8.LU2527589845,5.73,,,,,,False,,,
11693,Generali IS GS Ftr 2024 - 1 ID EUR Inc,52.8.LU2035481170,7.73,18.22,4.31,,10.06,0.54,False,,,
11694,Gesconsult Horizonte 2023 A FI,52.8.ES0138922002,2.74,4.1,,,,,False,,,
11695,Gesconsult Horizonte 2023 II A FI,52.8.ES0138922028,2.66,3.94,,,,,False,,,
11696,Gesconsult Horizonte 2023 II I FI,,4.15,,,,,,False,,,
11697,Gestifonsa Horizonte 2025 FI,52.8.ES0116372006,1.46,0.93,,,,,False,,,
11698,Gestifonsa Objetivo 2024 FI,52.8.ES0116371008,,,,,,,False,,,
11699,Gestifonsa RF Corp 2026 Base FI,52.8.ES0116373004,,,,,,,False,,,
11700,Gestifonsa RF Corp 2026 Cartera FI,52.8.ES0116373012,,,,,,,False,,,
11701,Gestifonsa RF Corp 2026 Premium FI,52.8.ES0116373020,,,,,,,False,,,
11702,GVC Gaesco RF Horizonte 2027 A FI,52.8.ES0157640006,,,,,,,False,,,
11703,Ibercaja BP High Yield 2023 B FI,,1.77,3.09,2.75,,2.44,1.04,False,,,
11704,Ibercaja Deuda Alto Rend 2024 B FI,52.8.ES0146951019,,,,,,,False,,,
11705,Ibercaja Deuda Alto Rend 2024 A FI,52.8.ES0146951001,,,,,,,False,,,
11706,Ibercaja Deuda Corporativa 2024 A FI,52.8.ES0147045001,3.92,5.94,0.33,0.8,2.76,-0.04,False,1.21,,
11707,Ibercaja Deuda Corporativa 2024 B FI,52.8.ES0147045027,4.14,6.21,,,,,False,,,
11708,Ibercaja Deuda Corporativa 2024 C FI,52.8.ES0147045035,4.13,6.2,,,,,False,,,
11709,Ibercaja Deuda Corporativa 2025 A FI,52.8.ES0158215006,4.33,7.25,,,,,False,,,
11710,Ibercaja Deuda Corporativa 2025 B FI,52.8.ES0158215014,4.61,7.61,,,,,False,,,
11711,Ibercaja Deuda Corporativa 2025 C FI,52.8.ES0158215022,4.6,7.6,,,,,False,,,
11712,Ibercaja DP Diciembre 2025 A FI,52.8.ES0146952009,,,,,,,False,,,
11713,Ibercaja DP Diciembre 2025 C FI,52.8.ES0146952017,,,,,,,False,,,
11714,Ibercaja España-Italia 2023 A FI,52.8.ES0146745007,1.73,1.9,,,,,False,,,
11715,Ibercaja España-Italia 2023 C FI,52.8.ES0146745015,1.86,2.06,,,,,False,,,
11716,Ibercaja España-Italia 2024 A FI,52.8.ES0146746005,1.31,1.13,,,,,False,,,
11717,Ibercaja España-Italia 2024 C FI,52.8.ES0146746013,1.44,1.29,,,,,False,,,
11718,Ibercaja España-Italia 2026 FI,52.8.ES0144256007,1.54,1.23,,,,,False,,,
11719,Ibercaja España-Italia Abril 2024 A FI,52.8.ES0144257005,1.7,,,,,,False,,,
11720,Ibercaja España-Italia Abril 2024 B FI,52.8.ES0144257013,1.89,,,,,,False,,,
11721,Ibercaja España-Italia Abril 2024 C FI,52.8.ES0144257021,1.82,,,,,,False,,,
11722,Ibercaja España-Italia Junio 2024 A FI,52.8.ES0144258003,,,,,,,False,,,
11723,Ibercaja España-Italia Junio 2024 C FI,52.8.ES0144258011,,,,,,,False,,,
11724,Ibercaja Objetivo 2024 FI,52.8.ES0147110003,1.84,2.05,-1.41,,1.63,-1.16,False,,,
11725,Ibercaja Objetivo 2026 A FI,52.8.ES0147111019,1.94,2.54,-3.39,,4.09,-0.9,False,,,
